,task,xo_idx,xo_specified,xo_known,algorithm,beta,samples_datetime,dist_gt_mean,dist_gt_std,dist_samples_mean,dist_samples_std,dist_estimate_mean,dist_estimate_std,r_dist_gt_estimate,mse_dist_gt_estimate,r_dist_samples_estimate,mse_dist_samples_estimate,c2st
0,gaussian_mixture,0,specified,known,ABC,10.0,2023_05_11__17_07_44,0.10530943,0.14632791,0.112175964,0.15423691,0.13212867,0.1578141,0.9967413,0.0009960602,0.9870817,0.0010269539,
1,gaussian_mixture,0,specified,known,ABC,25.0,2023_05_11__17_07_44,0.031698897,0.026215775,0.035237774,0.03169749,0.05071465,0.027735539,0.9313514,0.00046169572,0.8532413,0.0005078008,
2,gaussian_mixture,0,specified,known,ABC,75.0,2023_05_11__17_07_44,0.022254188,0.02504428,0.024966557,0.026431102,0.042707518,0.027443336,0.95077926,0.0004902849,0.8325861,0.00055375835,
3,gaussian_mixture,0,specified,known,GBI,10.0,2023_05_11__17_07_44,0.066154756,0.07728959,0.07122596,0.08186404,0.08985657,0.08691502,0.9924874,0.00075531873,0.9591475,0.0009538372,0.4959
4,gaussian_mixture,0,specified,known,GBI,25.0,2023_05_11__17_07_44,0.030947411,0.028099699,0.03568032,0.033047166,0.04898631,0.030696651,0.95401466,0.00041145954,0.83814293,0.0005108953,0.517
5,gaussian_mixture,0,specified,known,GBI,75.0,2023_05_11__17_07_44,0.016388794,0.013502959,0.020411292,0.017982362,0.034276556,0.010642081,0.8726662,0.00036474338,0.6670323,0.00037352892,0.5385
6,gaussian_mixture,0,specified,known,GT,10.0,2023_05_10__15_28_03,0.07615522,0.08966167,0.08158286,0.09481303,0.102270275,0.100307025,0.9941037,0.00090133207,0.965495,0.00111433,
7,gaussian_mixture,0,specified,known,GT,25.0,2023_05_10__15_28_03,0.03306955,0.034300856,0.037616007,0.037845023,0.05360949,0.039232146,0.9717243,0.0005222876,0.88224655,0.0006073125,
8,gaussian_mixture,0,specified,known,GT,75.0,2023_05_10__15_28_03,0.01304913,0.011936908,0.017080752,0.0157827,0.03368708,0.010362263,0.86574167,0.00046161117,0.65286934,0.00041866547,
9,gaussian_mixture,0,specified,known,NLE,1.0,2023_05_11__16_57_59,0.008224539,0.0035556841,0.012409492,0.009603128,0.03161423,0.0031688577,0.9322314,0.00054875395,0.36385924,0.00044892234,
10,gaussian_mixture,0,specified,known,NPE,1.0,2023_05_11__16_57_59,0.008745438,0.07886523,0.012776065,0.07996614,0.03162978,0.08031348,0.99859685,0.00054356287,0.9940471,0.00043203155,
11,gaussian_mixture,0,specified,known,eGBI,10.0,2023_05_11__17_07_44,0.07826521,0.093407646,0.084012,0.09855906,0.10397796,0.103675425,0.9942855,0.0008772089,0.9677163,0.0010844388,0.4963
12,gaussian_mixture,0,specified,known,eGBI,25.0,2023_05_11__17_07_44,0.036983702,0.03800866,0.04133649,0.04214919,0.05724912,0.043391854,0.9743749,0.00052416814,0.8967765,0.00063225796,0.5035
13,gaussian_mixture,0,specified,known,eGBI,75.0,2023_05_11__17_07_44,0.021488825,0.020927908,0.025990576,0.025377389,0.04005776,0.02039723,0.92242765,0.0004113006,0.7898961,0.00044015073,0.5472
14,gaussian_mixture,0,specified,unknown,ABC,10.0,2023_05_11__17_07_44,0.10510799,0.08520264,0.111044735,0.09403316,0.11732422,0.086523,0.9972724,0.00019035653,0.9530139,0.0008439772,
15,gaussian_mixture,0,specified,unknown,ABC,25.0,2023_05_11__17_07_44,0.03849126,0.037188146,0.040982828,0.035918593,0.052421004,0.03390903,0.98285955,0.00024693942,0.8825929,0.00041506477,
16,gaussian_mixture,0,specified,unknown,ABC,75.0,2023_05_11__17_07_44,0.024139397,0.025437837,0.02817504,0.029145326,0.041347317,0.019887766,0.9720156,0.0003540482,0.88697577,0.0003859026,
17,gaussian_mixture,0,specified,unknown,GBI,10.0,2023_05_11__17_07_44,0.10722844,0.10384098,0.11310652,0.109751076,0.11844991,0.10529491,0.9973797,0.00018532615,0.967588,0.00079737726,0.497
18,gaussian_mixture,0,specified,unknown,GBI,25.0,2023_05_11__17_07_44,0.045565497,0.04020771,0.049944658,0.04532862,0.05785407,0.036167014,0.9823296,0.00021871498,0.8989736,0.00047765626,0.5003
19,gaussian_mixture,0,specified,unknown,GBI,75.0,2023_05_11__17_07_44,0.020886824,0.017523551,0.02477387,0.022063095,0.037836656,0.0109935235,0.97151864,0.00034090105,0.7797822,0.0003999542,0.5487
20,gaussian_mixture,0,specified,unknown,GT,10.0,2023_05_10__15_28_03,0.105990335,0.102947935,0.1106806,0.108096644,0.11769487,0.1040565,0.997311,0.00019582685,0.9676456,0.000793229,
21,gaussian_mixture,0,specified,unknown,GT,25.0,2023_05_10__15_28_03,0.041966267,0.04083533,0.04637473,0.044911247,0.05542366,0.036699537,0.98321235,0.00024850963,0.9007973,0.00047625264,
22,gaussian_mixture,0,specified,unknown,GT,75.0,2023_05_10__15_28_03,0.013858337,0.013473399,0.017616931,0.017819777,0.03406913,0.0081702005,0.9624971,0.00044484943,0.75843066,0.00043409728,
23,gaussian_mixture,0,specified,unknown,NLE,1.0,2023_05_11__16_57_59,0.0041032406,0.0025026908,0.0076409774,0.007312831,0.029560428,0.00093024323,0.79266864,0.00065150583,0.2534697,0.0005313466,
24,gaussian_mixture,0,specified,unknown,NPE,1.0,2023_05_11__16_57_59,0.0066955285,0.048971284,0.010324834,0.049792558,0.031945087,0.048773058,0.99849874,0.0006447499,0.98448384,0.00054382294,
25,gaussian_mixture,0,specified,unknown,eGBI,10.0,2023_05_11__17_07_44,0.111779995,0.111049,0.117314965,0.11576759,0.12371687,0.11261292,0.99770486,0.00020232442,0.96942484,0.00084798795,0.4919
26,gaussian_mixture,0,specified,unknown,eGBI,25.0,2023_05_11__17_07_44,0.049324177,0.04917976,0.054191712,0.05346189,0.062289916,0.04604851,0.9875043,0.00023449912,0.92187655,0.0005051054,0.5114
27,gaussian_mixture,0,specified,unknown,eGBI,75.0,2023_05_11__17_07_44,0.022970667,0.02335887,0.026664792,0.026575848,0.0401561,0.017592808,0.96986896,0.00035333956,0.8401786,0.00041211123,0.5502
28,gaussian_mixture,0,misspecified,known,ABC,10.0,2023_05_11__17_07_44,0.39860234,0.26815313,0.4154669,0.27499768,0.4215495,0.25659016,0.99048287,0.0019410653,0.9800362,0.0031300953,
29,gaussian_mixture,0,misspecified,known,ABC,25.0,2023_05_11__17_07_44,0.27075383,0.16407838,0.28533724,0.17410128,0.30900106,0.15142187,0.99053925,0.0020805364,0.9697,0.002629676,
30,gaussian_mixture,0,misspecified,known,ABC,75.0,2023_05_11__17_07_44,0.31930226,0.20302783,0.33476707,0.21034487,0.3500165,0.17178245,0.99534816,0.002218105,0.984958,0.0027551553,
31,gaussian_mixture,0,misspecified,known,GBI,10.0,2023_05_11__17_07_44,0.2783456,0.14011571,0.29066977,0.14591259,0.31245607,0.116798885,0.9913367,0.0019905851,0.96872026,0.0023880277,0.5167
32,gaussian_mixture,0,misspecified,known,GBI,25.0,2023_05_11__17_07_44,0.17336506,0.061075337,0.18409833,0.067472555,0.22587211,0.05085658,0.989242,0.0029282116,0.91508603,0.002603719,0.5198
33,gaussian_mixture,0,misspecified,known,GBI,75.0,2023_05_11__17_07_44,0.12633713,0.019276496,0.13626386,0.029106768,0.18563712,0.014675121,0.9301376,0.0035771786,0.62783855,0.0029638202,0.5385
34,gaussian_mixture,0,misspecified,known,GT,10.0,2023_05_10__15_28_03,0.25081295,0.120538004,0.2626278,0.12530184,0.2916915,0.10301265,0.9904442,0.0022153922,0.9623,0.0023144458,
35,gaussian_mixture,0,misspecified,known,GT,25.0,2023_05_10__15_28_03,0.16078891,0.049097724,0.17142692,0.05606869,0.21660975,0.04204316,0.9863196,0.0032221896,0.8863576,0.0027738388,
36,gaussian_mixture,0,misspecified,known,GT,75.0,2023_05_10__15_28_03,0.12208393,0.017453859,0.13192035,0.027694182,0.18432602,0.013631946,0.9090321,0.0039319615,0.58228886,0.0032593925,
37,gaussian_mixture,0,misspecified,known,NLE,1.0,2023_05_11__16_57_59,0.099876635,0.0034320217,0.109297805,0.018752536,0.17330807,0.0013129893,0.35247788,0.005402499,0.08735637,0.0044463244,
38,gaussian_mixture,0,misspecified,known,NPE,1.0,2023_05_11__16_57_59,0.12216299,0.040238354,0.13192773,0.045509055,0.18145476,0.038541738,0.9824684,0.0035727608,0.8710721,0.0029536497,
39,gaussian_mixture,0,misspecified,known,eGBI,10.0,2023_05_11__17_07_44,0.25385758,0.13228385,0.26569557,0.13724756,0.29507932,0.11468431,0.99032843,0.0023023132,0.96593744,0.0024444843,0.5075
40,gaussian_mixture,0,misspecified,known,eGBI,25.0,2023_05_11__17_07_44,0.16302346,0.056725226,0.17347956,0.06252933,0.21923007,0.048253883,0.9876681,0.0032984265,0.90678644,0.0028592478,0.5214
41,gaussian_mixture,0,misspecified,known,eGBI,75.0,2023_05_11__17_07_44,0.119877785,0.0255046,0.12978537,0.033837914,0.18578957,0.020675898,0.9504369,0.004419939,0.74676967,0.0036639392,0.6133
42,gaussian_mixture,0,misspecified,unknown,ABC,10.0,2023_05_11__17_07_44,0.2706783,0.095824614,0.29043663,0.10048769,0.23374158,0.11167793,0.79704833,0.00586752,0.80243045,0.007682707,
43,gaussian_mixture,0,misspecified,unknown,ABC,25.0,2023_05_11__17_07_44,0.24798684,0.07441216,0.26366496,0.07622444,0.2259612,0.103498854,0.76972055,0.0047903303,0.70180136,0.0067615537,
44,gaussian_mixture,0,misspecified,unknown,ABC,75.0,2023_05_11__17_07_44,0.2943059,0.15150857,0.31092897,0.15975967,0.2657977,0.19014834,0.8992396,0.0079654,0.8795772,0.010111919,
45,gaussian_mixture,0,misspecified,unknown,GBI,10.0,2023_05_11__17_07_44,0.2856573,0.11261521,0.2997667,0.11685585,0.2126892,0.09782687,0.8468154,0.008917526,0.8302756,0.011824198,0.5588
46,gaussian_mixture,0,misspecified,unknown,GBI,25.0,2023_05_11__17_07_44,0.225715,0.05917567,0.23881033,0.06217483,0.15222502,0.04130166,0.73659444,0.007007496,0.6971135,0.009487886,0.639
47,gaussian_mixture,0,misspecified,unknown,GBI,75.0,2023_05_11__17_07_44,0.1964635,0.027572976,0.20935927,0.032546356,0.12428417,0.013242952,0.4512414,0.0058158394,0.39208263,0.008134256,0.7627
48,gaussian_mixture,0,misspecified,unknown,GT,10.0,2023_05_10__15_28_03,0.26205984,0.093985,0.27571723,0.0982814,0.2260687,0.10766146,0.7943463,0.005643376,0.77154773,0.0073865433,
49,gaussian_mixture,0,misspecified,unknown,GT,25.0,2023_05_10__15_28_03,0.20159656,0.040213108,0.21459846,0.043938775,0.16528799,0.050244495,0.6564493,0.0028069213,0.61145294,0.004186511,
50,gaussian_mixture,0,misspecified,unknown,GT,75.0,2023_05_10__15_28_03,0.17146085,0.013695597,0.18392347,0.018213704,0.13525201,0.019436885,0.3702615,0.0016792408,0.2736049,0.0028846164,
51,gaussian_mixture,0,misspecified,unknown,NLE,1.0,2023_05_11__16_57_59,0.2829719,0.030856663,0.29748583,0.035892725,0.3543441,0.05504111,0.9823643,0.0057386598,0.85156614,0.00418582,
52,gaussian_mixture,0,misspecified,unknown,NPE,1.0,2023_05_11__16_57_59,0.19660994,0.03742357,0.21003447,0.040099185,0.19849065,0.04263327,0.96559566,0.0001404345,0.9130822,0.0004368021,
53,gaussian_mixture,0,misspecified,unknown,eGBI,10.0,2023_05_11__17_07_44,0.27154234,0.10356542,0.2852051,0.10759125,0.24453028,0.13437903,0.820383,0.006677405,0.80631053,0.007971489,0.5062
54,gaussian_mixture,0,misspecified,unknown,eGBI,25.0,2023_05_11__17_07_44,0.20883538,0.050037462,0.221779,0.052911825,0.18084295,0.07165331,0.7429542,0.0030935537,0.7026862,0.004280897,0.5217
55,gaussian_mixture,0,misspecified,unknown,eGBI,75.0,2023_05_11__17_07_44,0.1772362,0.020657094,0.18971245,0.02393132,0.15260339,0.03542045,0.5925694,0.0014207906,0.5094658,0.0023405007,0.5949
56,gaussian_mixture,1,specified,known,ABC,10.0,2023_05_11__17_07_44,0.11597839,0.1298386,0.119829245,0.1255933,0.12660536,0.13141881,0.99857056,0.00016318481,0.979048,0.00075697445,
57,gaussian_mixture,1,specified,known,ABC,25.0,2023_05_11__17_07_44,0.033407763,0.029968845,0.038001064,0.03287525,0.045813106,0.026131613,0.97516215,0.00020644713,0.90220666,0.00027025974,
58,gaussian_mixture,1,specified,known,ABC,75.0,2023_05_11__17_07_44,0.015237234,0.015978334,0.022283409,0.024493244,0.032501455,0.010489763,0.97363025,0.00033623807,0.9046247,0.000344613,
59,gaussian_mixture,1,specified,known,GBI,10.0,2023_05_11__17_07_44,0.093388475,0.097491704,0.099053696,0.10244702,0.104097694,0.097478166,0.9970868,0.00017004694,0.96769565,0.00069520395,0.4968
60,gaussian_mixture,1,specified,known,GBI,25.0,2023_05_11__17_07_44,0.038851116,0.03731072,0.04365484,0.042791624,0.0508127,0.033364914,0.983804,0.00019896153,0.9030941,0.00041673746,0.513
61,gaussian_mixture,1,specified,known,GBI,75.0,2023_05_11__17_07_44,0.017323034,0.016238436,0.021565886,0.020571604,0.03356158,0.010551658,0.97293717,0.0003052954,0.7739421,0.00034239452,0.5308
62,gaussian_mixture,1,specified,known,GT,10.0,2023_05_10__15_28_03,0.094502725,0.10044968,0.10021583,0.1051836,0.105896115,0.100866206,0.997206,0.00018659158,0.96717775,0.0007472198,
63,gaussian_mixture,1,specified,known,GT,25.0,2023_05_10__15_28_03,0.03539865,0.03811693,0.040189043,0.042975467,0.048647154,0.03428618,0.9849165,0.00022961125,0.9108642,0.00040965265,
64,gaussian_mixture,1,specified,known,GT,75.0,2023_05_10__15_28_03,0.011740226,0.012182882,0.01571871,0.016128033,0.03045336,0.007426349,0.96857756,0.00037848618,0.74648404,0.0003535304,
65,gaussian_mixture,1,specified,known,NLE,1.0,2023_05_11__16_57_59,0.009820209,0.004113098,0.013784468,0.01031469,0.028474094,0.0021096878,0.7852171,0.00035570716,0.32115662,0.0003126322,
66,gaussian_mixture,1,specified,known,NPE,1.0,2023_05_11__16_57_59,0.007886741,0.064451456,0.011703679,0.06528064,0.030108845,0.06467232,0.9989652,0.0005024957,0.99083936,0.00041645337,
67,gaussian_mixture,1,specified,known,eGBI,10.0,2023_05_11__17_07_44,0.098857895,0.10891947,0.10450668,0.11322468,0.110174924,0.109490424,0.9975257,0.00018740367,0.9714412,0.0007540149,0.4969
68,gaussian_mixture,1,specified,known,eGBI,25.0,2023_05_11__17_07_44,0.04064978,0.04471556,0.044981297,0.0484139,0.053468138,0.041279055,0.98752713,0.00022215376,0.9227618,0.00043157907,0.5139
69,gaussian_mixture,1,specified,known,eGBI,75.0,2023_05_11__17_07_44,0.017120486,0.01870321,0.021256242,0.022874806,0.033741664,0.013383896,0.97170603,0.00031871544,0.8259741,0.0003524813,0.533
70,gaussian_mixture,1,specified,unknown,ABC,10.0,2023_05_11__17_07_44,0.09536236,0.10757685,0.10114145,0.113096535,0.11080891,0.11143804,0.995306,0.0003634989,0.96212405,0.0010317815,
