,task,xo_idx,xo_specified,xo_known,algorithm,beta,samples_datetime,dist_gt_mean,dist_gt_std,dist_samples_mean,dist_samples_std,dist_estimate_mean,dist_estimate_std,r_dist_gt_estimate,mse_dist_gt_estimate,r_dist_samples_estimate,mse_dist_samples_estimate,c2st
0,linear_gaussian,0,specified,known,ABC,1.0,2023_05_07__23_20_03,4.3781023,1.1195279,4.384939,1.6868259,4.4834023,1.0806048,0.98073477,0.058253523,0.72085184,1.3671542,
1,linear_gaussian,0,specified,known,ABC,10.0,2023_05_07__23_20_03,3.7281253,0.8039486,3.7225475,1.4446393,3.8511944,0.7740636,0.9459439,0.08195479,0.6356012,1.2559015,
2,linear_gaussian,0,specified,known,ABC,100.0,2023_05_07__23_20_03,3.9511878,1.1112522,3.9720886,1.3617115,4.0407124,1.0965016,0.97831994,0.06000512,0.6210533,1.1826313,
3,linear_gaussian,0,specified,known,GBI,1.0,2023_05_07__23_20_03,3.987364,0.9519246,3.979532,1.4336425,4.070247,0.9042733,0.97441006,0.05318646,0.661689,1.1654052,0.5232
4,linear_gaussian,0,specified,known,GBI,10.0,2023_05_07__23_20_03,1.846415,0.34210518,1.8418072,0.7717961,2.1781626,0.23302346,0.86898416,0.1428374,0.37938038,0.6265407,0.7907
5,linear_gaussian,0,specified,known,GBI,100.0,2023_05_07__23_20_03,1.0721586,0.086983316,1.0745133,0.52132547,1.6489635,0.026758635,0.53331256,0.33850226,0.07643377,0.60030264,0.9993
6,linear_gaussian,0,specified,known,GT,1.0,2023_05_04__19_26_14,3.9482598,0.96760184,3.954424,1.454374,4.079749,0.93320125,0.9741021,0.065233536,0.6657501,1.1943955,
7,linear_gaussian,0,specified,known,GT,10.0,2023_05_04__19_26_14,1.4391373,0.2723611,1.4389876,0.66411483,2.0881197,0.20250973,0.7571799,0.45283696,0.31073612,0.81977004,
8,linear_gaussian,0,specified,known,GT,100.0,2023_05_04__19_26_14,0.78285974,0.02475821,0.7812341,0.39104298,1.9130003,0.08173004,-0.15589105,1.2851399,-0.04217749,1.4431531,
9,linear_gaussian,0,specified,known,NLE,1.0,2023_05_07__23_06_29,2.0655415,0.68722165,2.059605,1.0315902,2.5393517,0.5399777,0.960001,0.27585274,0.62087226,0.89408255,
