,task,xo_idx,xo_specified,xo_known,algorithm,beta,samples_datetime,dist_gt_mean,dist_gt_std,dist_samples_mean,dist_samples_std,dist_estimate_mean,dist_estimate_std,r_dist_gt_estimate,mse_dist_gt_estimate,r_dist_samples_estimate,mse_dist_samples_estimate,c2st
0,two_moons,0,specified,known,ABC,10.0,2023_05_07__22_26_00,0.06611607,0.07880948,0.06396563,0.07551558,0.068771884,0.07865479,0.9973493,3.928201e-05,0.97206795,0.00035793535,
1,two_moons,0,specified,known,ABC,100.0,2023_05_07__22_26_00,0.01175289,0.0090155145,0.012259811,0.013044539,0.019053554,0.0060728164,0.9725333,6.473342e-05,0.7513292,0.00013239776,
2,two_moons,0,specified,known,ABC,1000.0,2023_05_07__22_26_00,0.0074748993,0.004059846,0.0081440145,0.0077314256,0.016351197,0.0027973286,0.89835376,8.26133e-05,0.6004916,0.00010815127,
3,two_moons,0,specified,known,GBI,10.0,2023_05_07__22_26_00,0.0763286,0.087699085,0.077368855,0.0905082,0.07854572,0.08761785,0.9977402,3.9643823e-05,0.9763727,0.0003844006,0.5087
4,two_moons,0,specified,known,GBI,100.0,2023_05_07__22_26_00,0.015414733,0.010866871,0.015387543,0.013864457,0.021190941,0.007242244,0.97532064,5.0383635e-05,0.7667708,0.000124352,0.5244
5,two_moons,0,specified,known,GBI,1000.0,2023_05_07__22_26_00,0.0045960816,0.0016595145,0.0045351326,0.0041915276,0.01336971,0.0011413033,0.90157145,7.761786e-05,0.3752021,9.3328425e-05,0.7073
6,two_moons,0,specified,known,GT,10.0,2023_05_04__01_37_00,0.07678636,0.08979843,0.07764252,0.09305309,0.07916049,0.08952909,0.9978512,4.0254763e-05,0.97810405,0.0003794792,
7,two_moons,0,specified,known,GT,100.0,2023_05_04__01_37_00,0.012138752,0.008775237,0.0122061595,0.011659903,0.019303063,0.005925509,0.9665324,6.292647e-05,0.73564917,0.0001197639,
8,two_moons,0,specified,known,GT,1000.0,2023_05_04__01_37_00,0.004068504,0.0010146808,0.00404298,0.0034187844,0.01434133,0.0014339196,0.460106,0.00010727744,0.12925778,0.00011853043,
9,two_moons,0,specified,known,NLE,1.0,2023_05_07__22_20_15,0.0062026437,0.002609108,0.006207832,0.0063163955,0.016091647,0.0020588255,0.8065687,0.00010017283,0.3829252,0.00013185918,
10,two_moons,0,specified,known,NPE,1.0,2023_05_07__22_20_15,0.0067636324,0.004010188,0.0066489275,0.007074517,0.016104974,0.0029869466,0.9029795,9.063131e-05,0.48630974,0.00012782718,
11,two_moons,0,specified,known,eGBI,10.0,2023_05_07__22_26_00,0.073681064,0.08484193,0.074589685,0.0880791,0.07645765,0.08471978,0.9976426,4.1607425e-05,0.976211,0.00036972723,0.4994
12,two_moons,0,specified,known,eGBI,100.0,2023_05_07__22_26_00,0.012820265,0.009241526,0.012947615,0.012340655,0.01973938,0.00632564,0.9665296,6.0287308e-05,0.74016917,0.00012285923,0.4991
13,two_moons,0,specified,known,eGBI,1000.0,2023_05_07__22_26_00,0.007219176,0.006841083,0.0071557434,0.008805572,0.016608445,0.004867967,0.9543616,9.508988e-05,0.74300057,0.00012688349,0.6155
14,two_moons,0,specified,unknown,ABC,10.0,2023_05_07__22_26_00,0.10932603,0.11371836,0.11097813,0.12018231,0.112156086,0.11459157,0.99738127,7.564467e-05,0.98413455,0.00046027263,
15,two_moons,0,specified,unknown,ABC,100.0,2023_05_07__22_26_00,0.024895549,0.014681119,0.027813205,0.022683067,0.03008592,0.011738939,0.96625084,4.682332e-05,0.8518954,0.00019983943,
16,two_moons,0,specified,unknown,ABC,1000.0,2023_05_07__22_26_00,0.02072749,0.010191944,0.022012772,0.014809732,0.026112946,0.0068288706,0.9278122,4.993471e-05,0.6845697,0.00014175697,
17,two_moons,0,specified,unknown,GBI,10.0,2023_05_07__22_26_00,0.11189437,0.09298384,0.1133619,0.09818064,0.11346997,0.093576916,0.99635434,6.6264394e-05,0.9650756,0.00066280225,0.5033
18,two_moons,0,specified,unknown,GBI,100.0,2023_05_07__22_26_00,0.0248786,0.013106401,0.025297409,0.017253619,0.02864212,0.009289764,0.94715005,4.1594845e-05,0.74701244,0.00015567995,0.5266
19,two_moons,0,specified,unknown,GBI,1000.0,2023_05_07__22_26_00,0.011062651,0.0026942831,0.011153506,0.0069967997,0.01940985,0.0011972372,0.78505474,7.3302865e-05,0.30501541,0.00011343662,0.8713
20,two_moons,0,specified,unknown,GT,10.0,2023_05_04__01_37_00,0.11571644,0.09631574,0.11743101,0.10018879,0.11784231,0.096885905,0.996545,6.9313086e-05,0.964905,0.000692266,
21,two_moons,0,specified,unknown,GT,100.0,2023_05_04__01_37_00,0.02716518,0.012475986,0.027403848,0.017060375,0.030503659,0.009606093,0.93959785,3.3855053e-05,0.6903984,0.00016662093,
22,two_moons,0,specified,unknown,GT,1000.0,2023_05_04__01_37_00,0.020992823,0.0063704075,0.021298079,0.01201756,0.026113272,0.0043001478,0.84172046,3.917412e-05,0.46080253,0.00013845,
23,two_moons,0,specified,unknown,NLE,1.0,2023_05_07__22_20_15,0.011728175,0.011542484,0.011894938,0.014220853,0.021278953,0.010330265,0.9872452,9.572765e-05,0.8005559,0.00016178041,
24,two_moons,0,specified,unknown,NPE,1.0,2023_05_07__22_20_15,0.012478919,0.01737089,0.012654932,0.020417484,0.021895798,0.017345516,0.9944594,9.2016475e-05,0.9030534,0.00016348259,
25,two_moons,0,specified,unknown,eGBI,10.0,2023_05_07__22_26_00,0.11288228,0.09364663,0.11396818,0.09834063,0.11507779,0.09447213,0.99621636,7.2436356e-05,0.963299,0.0006979933,0.5035
26,two_moons,0,specified,unknown,eGBI,100.0,2023_05_07__22_26_00,0.021277906,0.012527301,0.021555692,0.016569942,0.027035668,0.009933142,0.9472826,5.2997355e-05,0.73660785,0.00016075541,0.5781
27,two_moons,0,specified,unknown,eGBI,1000.0,2023_05_07__22_26_00,0.010750549,0.011377581,0.010874346,0.013739154,0.020678254,0.011262888,0.988603,0.000101492835,0.8414547,0.00015130482,0.875
28,two_moons,0,misspecified,known,ABC,10.0,2023_05_07__22_26_00,0.11846674,0.08168082,0.11953827,0.0825541,0.12189606,0.08305765,0.9881391,0.00017133287,0.94715816,0.0007159628,
