,task,xo_idx,xo_specified,xo_known,algorithm,beta,samples_datetime,dist_gt_mean,dist_gt_std,dist_samples_mean,dist_samples_std,dist_estimate_mean,dist_estimate_std,r_dist_gt_estimate,mse_dist_gt_estimate,r_dist_samples_estimate,mse_dist_samples_estimate,c2st
0,uniform_1d,0,specified,known,ABC,4.0,2023_05_07__22_00_34,0.0897117,0.063844725,0.09226769,0.095513605,0.10544999,0.07899867,0.990848,0.0005632151,0.535754,0.0073068305,
1,uniform_1d,0,specified,known,ABC,20.0,2023_05_07__22_00_34,0.07167972,0.059304547,0.0790847,0.09673363,0.086096704,0.072551884,0.9887125,0.00047502242,0.6772991,0.0050612027,
2,uniform_1d,0,specified,known,ABC,100.0,2023_05_07__22_00_34,0.052721098,0.031285,0.06059139,0.063848324,0.060786586,0.0348389,0.9557741,0.00017190792,0.6256677,0.0024567812,
3,uniform_1d,0,specified,known,GBI,4.0,2023_05_07__22_00_34,0.062580764,0.046366185,0.06274216,0.07647103,0.07183025,0.051446527,0.9759974,0.00022584514,0.586263,0.0039634653,0.4945
4,uniform_1d,0,specified,known,GBI,20.0,2023_05_07__22_00_34,0.04488465,0.025132146,0.045133412,0.055561285,0.05237061,0.024270967,0.9399208,0.0001300608,0.4595565,0.002488578,0.4986
5,uniform_1d,0,specified,known,GBI,100.0,2023_05_07__22_00_34,0.028772946,0.0104854945,0.02807034,0.032739524,0.036704376,0.009114552,0.8288744,9.748933e-05,0.24467416,0.0010832718,0.5406
6,uniform_1d,0,specified,known,GT,4.0,2023_05_04__01_16_42,0.062615745,0.0508265,0.06353525,0.081354864,0.07257769,0.05757696,0.98075944,0.00025739073,0.6375234,0.004042162,
7,uniform_1d,0,specified,known,GT,20.0,2023_05_04__01_16_42,0.04347964,0.02557664,0.043942925,0.055034414,0.05246855,0.025916697,0.9409231,0.00015922029,0.4743918,0.0024194191,
8,uniform_1d,0,specified,known,GT,100.0,2023_05_04__01_16_42,0.026403144,0.007953771,0.026289575,0.029668966,0.038075715,0.008835661,0.7014233,0.00017898415,0.1931678,0.0009957822,
9,uniform_1d,0,specified,known,NLE,1.0,2023_05_07__21_56_20,0.04612587,0.019023698,0.045859583,0.052923184,0.053454462,0.017099896,0.8853149,0.00013200844,0.31288633,0.0025841342,
